codprod,descricao,categoria,descricao_manual,updated_at
18952,CABO PARA ANTENA STARLINK 5M KA-XL-5M,,,
15772,CABO PARA APLICAÇÃO EM CFTV 4P BR 305M,,,
14295,CABO PARA IMPRESSORA 5M C-50,,,
9743,CABO PARA IPHONE ORIGINAL APPLE - SN,,,
1204,"CABO RCA/RCA  2 SAIDAS 1,2MTS",,,
17387,CABO RJ45 1.5M LE-301,,,
14661,CABO RJ45 15M LE-305,,,
14721,CABO RJ45 20M LE-306,,,
14722,CABO RJ45 30M LE-307,,,
17388,CABO RJ45 3M LE-302,,,
11296,CABO SATA 3.0 SA-04 DEX-SN,,,
12868,CABO SATA 40CM COM TRAVA,,,
12869,CABO SATA 40CM SEM TRAVA,,,
17583,CABO SOLAR 4MM 1KV DC PRETO ROLO 25M,,,
17584,CABO SOLAR 4MM 1KV DC VERMELHO ROLO 25M,,,
14237,CABO ULTRA CFTV 4PX24AWG CCA CX 300M BR,,,
14238,CABO ULTRA CFTV 4PX24AWG CCA CX 300M PT,,,
13287,CABO USB 2.0 USB A MACHO MINI USB V3 2.0,,,
15295,CABO USB 3 EM 1 LIGHTNING/TYPE-C OR-CO05,,,
18343,CABO USB A X TYPE-C P/CELULAR OR-CO22/C,,,
1131,CABO USB PARA SERIAL DP9 PARA IMPRESSORA,,,
10344,CABO USB PARALELO 36PIN USB 2.0 / DB36 L,,,
15267,CABO USB TIPO C 2M 60W IMS-148A IMENSO,,,
15268,CABO USB TIPO C P/ IOS 2M 27W IMS-149A,,,
1534,CABO VGA 15M CBX-MVGA150 EXBOM,,,
9098,CABO VGA 20M FULL HD 1080P 1.4 HIGH SPEE,,,
17984,CADEIRA DE BALANCO RECLINAVEL MCC-P025,,,
16975,CADEIRA ESCRITORIO ERGONOMICA MCC-P019,,,
18268,CADEIRA GAMER ELEMENTS LUNARES CINZA,,,
18269,CADEIRA GAMER ELEMENTS LUNARES PRETO,,,
19058,CADEIRA GAMER ERGONOMICA RG-CDA002,,,
16532,CADEIRA GAMER PRIME-X V2 PRETO/AZUL,,,
16530,CADEIRA GAMER PRIME-X V2 PRETO/VERMELHO,,,
17363,CADERNO BOBBIE GOODS,,,
14137,CAIXA DE FERRAMENTA 12PCS BOM-3902,,,
14136,CAIXA DE FERRAMENTA 7PCS BOM-3901,,,
18095,CAIXA DE SOM 20W RGB BLUETOOTH MTS-6007,,,
13923,"CAIXA DE SOM AQUARIO 250W 8""",,,
13925,CAIXA DE SOM AQUARIO 480W 12'' HP-480,,,
16233,"CAIXA DE SOM AQUARIO 750W 2X8""",,,
13926,CAIXA DE SOM AQUARIO 900W 15'' HP-900,,,
13610,CAIXA DE SOM DUO CIRLCE LED 250W LETRON,,,
15253,CAIXA DE SOM IMS-X35 100W PRETO IMENSO,,,
15258,CAIXA DE SOM IMS-X40 120W PRO IMENSO,,,
15260,CAIXA DE SOM IMS-X45M 20W IMENSO,,,
15261,CAIXA DE SOM IMS-X56 300W IMENSO,,,
15974,CAIXA DE SOM JBL PARTYBOX ULTIMATE,,,
16435,CAIXA DE SOM MULTIMIDIA 2.0 KP-RO843,,,
18065,CAIXA DE SOM MULTIMIDIA SPEAKER KP-RO842,,,
15679,CAIXA DE SOM PORTATIL D-G120,,,
15684,CAIXA DE SOM PORTATIL D-K595,,,
12197,CAIXA DE SOM SOUNDBAR 12W C/ LED KP-6040,,,
14847,CAIXA DE SOM SUBWOOFER GAMER SS9800,,,
13839,CAIXA DE SOM TOMATE MTS-8001 80W,,,
13841,CAIXA DE SOM TOMATE MTS-8003,,,
13843,CAIXA DE SOM TOMATE MTS-8006 100W,,,
18865,CAIXA DE SOM VIBESOUND V7 PARTY 1800W,,,
17575,CAIXA METALICA MINI FINE PRETO C/2CHAVES,,,
3431,CAIXA SOBREPOR/CFTV QUADRADA BR,,,
18106,CALCULADORA ELETRONICA 12DIGITOS AK-J027,,,
17985,CALCULADORA ELETRONICA AK-J039,,,
14801,CAMERA ANALOGICA UAC-P112-AF40-W,,,
3206,CAMERA DE SEGURANCA  SPEED DOME,,,
18024,CAMERA DE SEGURANCA 2MP 1080P SIGMA-4722,,,
18029,CAMERA DE SEGURANCA 2MP 1080P SIGMA-4723,,,
18871,CAMERA DE SEGURANCA PTZ SIGMA-1330,,,
13861,CAMERA DE SEGURANCA TECH IPC2122LB-SF,,,
13863,CAMERA DE SEGURANCA TECH IPC2122LE-AF,,,
13865,CAMERA DE SEGURANCA TECH IPC2322LB-ADZK,,,
13864,CAMERA DE SEGURANCA TECH IPC2322SB-DZK,,,
13862,CAMERA DE SEGURANCA TECH IPC3612LB-AF28,,,
13853,CAMERA DE SEGURANCA TECHNOLOGY B112-F28W,,,
13857,CAMERA DE SEGURANCA TECHNOLOGY T112-F28,,,
13856,CAMERA DE SEGURANCA TECHNOLOGY T115-F28,,,
13855,CAMERA DE SEGURANCA TECHNOLOGY T122-AF28,,,
13858,CAMERA DE SEGURANCA TECHNOLOGY T132-F28,,,
11042,CAMERA DOME 2.8MM IP66 MTADH022601 MOTOR,,,
5018,CAMERA DOME 4 EM 1 1080P FULL HD 2.8MM P,,,
7336,CAMERA DOME 4 EM 1 1080P FULL MTD202M,,,
5105,CAMERA DOME MET GS0056 SONY SUPER STARVI,,,
13703,CAMERA IP 3 ANTENAS 5DBI KP-CA204 KNUP,,,
13472,CAMERA IP BULLET 2MP FULL COLOR MOTOROLA,,,
7167,CAMERA IP DOME METAL GIGA GS0150,,,
14965,CAMERA IP WIRELESS 2 ANT. 5DBI KP-CA209,,,
18150,CAMERA IP WIRELESS 3 ANT. 5DBI KP-CA127,,,
18333,CAMERA IP WIRELESS 5DBI KP-CA210,,,
18374,CAMERA IP WIRELESS KP-CA200,,,
14112,CAMERA IP WIRELESS KP-CA207,,,
13854,CAMERA SEGURANCA TECHNOLOGY B122-AF28LM,,,
7907,CAMERA SMART NUVEM EXTERNA 1080P FULL HD,,,
1000,CAMERA SPEED DOME IR HD CLEAR - OSD,,,
5005,"CAMERA SPEED DOME POE PTZ 5"" IP METAL 2M",,,
11306,CAMERA WI-FI IP 2MP FULL HD MDY2000 MOTO,,,
16586,CAMPAINHA INTELIGENTE EXTERN SIGMA-P1103,,,
18079,CAMPAINHA SEM FIO 100M KP-CA321,,,
17361,CANETA COLORIDA 24PCS,,,
17362,CANETA COLORIDA 48PCS,,,
17359,CANETA COLORIDA 80PCS,,,
16461,CANETA DETECTORA NOTAS FALSAS MYC-02,,,
18119,CANETA UNIVERSAL,,,
15067,CANIVETE PARA PESCA E CAÇA YF-014 LUATEK,,,
15069,CANIVETE PARA PESCA E CAÇA YF-015 LUATEK,,,
16299,CARREGADOR DE VIAGEM LE-230FC,,,
18640,CARREGADOR DE VIAGEM LE-232FC,,,
14856,CARREGADOR DE VIAGEM LE-251,,,
12690,CARREGADOR INTELIGENTE MULTIFUNCIONAL 2,,,
14337,CARREGADOR P/ 4 PILHAS AA/ AAA KP-512,,,
16741,CARREGADOR PARA CELULAR 65W TT-6531,,,
18759,CARREGADOR PARA NETEBOOK KP-536,,,
18385,CARREGADOR POWERBANK 10000MAH PN-951,,,
15269,CARREGADOR SEM FIO TYPE-C IMS-227 IMENSO,,,
15270,CARREGADOR SEM FIO TYPE-C IMS-228 IMENSO,,,
18755,CARREGADOR SMART CHARGER OR-IC033/M,,,
15721,CARREGADOR SMART USBC/LIGHTNI OR-IC027/I,,,
12772,CARREGADOR VEICULAR IOS LELONG LE-528P,,,
12768,CARREGADOR VEICULAR MICRO USB LE-525V,,,
18330,CARTAO DE MEMORIA 128 GB SIGMA-C3128,,,
15727,CARTAO DE MEMORIA MICRO SD 256G LB-SD256,,,
1335,CARTAO VIRGEM PARA CNPJ GEMALTO CODG259,,,
14334,CARTELA C/ 4 PILHAS ALCALINAS KP-4900AA,,,
14664,CARTELA C/ 4 PILHAS ALCALINAS KP-4900AAA,,,
17518,CARTELA C/2 PILHAS RECAR 1.2V KP-2800AAA,,,
17517,CARTELA C/2 PILHAS RECARR 1.2V KP-2800AA,,,
16051,CARTELA COM 1BATERIA ALCALINA 9V KP-AK9V,,,
1043,CARTUCHO DE TINTA COMPAT 122XL CH564H CO,,,
15735,"CASE 3,5 HD SATA USB 2.0 KNUP KP-HD002",,,
16354,CASE BMW CARBON TRICOLOR BLACK 16 PRO,,,
15941,CASE BMW LEATHER BLACK STAM 15 PRO MAX,,,
17939,CASE CONEXAO INTERNA SATA KP-HD823,,,
16404,CASE GUESS OCEAN CRYSTAL 16,,,
16405,CASE GUESS OCEAN CRYSTAL 16 PRO,,,
15659,"CASE HD P/ NOTEBOOK 2.5"" USB 2.0 HAOQUI",,,
16127,"CASE HD P/ NOTEBOOK 2.5"" USB 3.0 HAOQUI",,,
15934,CASE MERCEDES ESSENTIAL BLACK 15 PRO MAX,,,
7303,CASE PARA HD EXTERNO USB 3.0 SATA 3.5 DX,,,
13383,CATRACA IDBLOCK PRETA FACIAL IDBLOCK/PT/,,,
14688,CELULAR DE MESA 4G DUAL SIM CA-42SX4G,,,
14043,CELULAR MULTI FLIP VITA 4G P9227,,,
16701,CELULAR VITA 4G PRETO P9225,,,
17407,CELULAR ZAPP II PRETO OBAPHONE OB057,,,
6924,CENTRAL MAX 4 - P3000 SMD P3000-BLUE IPE,,,
18704,CHAVE AJUSTAVEL 6 POLEGADAS BOM-1284,,,
18543,CHAVE AJUSTAVEL 8 POLEGADAS BOM-1281,,,
18544,CHAVE AJUSTAVEL 8 POLEGADAS BOM-1282,,,
18545,CHAVE CATRACA 1/4 POLEGADA BOM-1299,,,
18705,CHAVE CATRACA 3/8 POLEGADA BOM-1298,,,
18701,CHAVE CRUZETA 12/13/14/17MM BOM-1208,,,
18576,CHAVE DE APERTO MANDRIL 1/2 BOM-5023,,,
18734,CHAVE DE APERTO MANDRIL 3/8 BOM-5013,,,
18735,CHAVE DE APERTO MANDRIL 5/8 BOM-5015,,,
18549,CHAVE DE FENDA ELETRICA  BOM-9913,,,
18542,CHAVE DE FENDA PHILLIPS 3/16.4 BOM-1121,,,
18080,CHAVE DE GRIFO 14 POLEGADAS BOM-1290,,,
14130,CHAVE DE SOQUETE UNIVERSAL BOM-1201,,,
14008,CHAVE FENDA ELETRICA 12 PONTAS BOM-9911,,,
14151,CHAVE FENDA ELETRICA 12 PONTAS BOM-9911,,,
18670,CHAVE FENDA1/4DUPLA MAGNETICA BOM-1140,,,
11140,CHAVE MULTIFUNCAO FENDA/PHILIPS/ALLEN PR,,,
18698,"CHAVE PHILLIPS 1/4*4"" BOM-1122",,,
18700,"CHAVE PHILLIPS 1/4*4"" BOM-1143",,,
18699,"CHAVE PHILLIPS 3/3*16*4"" BOM-1142",,,
18703,CHAVE SOQUETES NINJA 12X14X17MM BOM-1225,,,
18702,CHAVE SOQUETES NINJA 8X10X12MM BOM-1224,,,
18413,COLETOR DE PO COM NIVEL A LASER BOM-6214,,,
15677,COMP. ALL IN ONE I5-6200U/8GB D-AI07,,,
18123,"COMP. ALL IN ONE MAXIMUS 21,5"" G-AI02",,,
14289,"COMP. ALL IN ONE MAXIMUS 21,5"" I5 D-AI04",,,
18417,COMPRESSOR PORTAIL VEICULAR BOM-8909,,,
17437,"COMPUTADOR ALL IN ONE 23,8"" HAOQING H81",,,
17681,"COMPUTADOR ALL IN ONE A24E99-03 23,8""",,,
18991,COMPUTADOR ALL IN ONE D-AI02,,,
18992,COMPUTADOR ALL IN ONE D-AI11,,,
16312,COMPUTADOR I3-13100 DRR4 16GB NVME 256GB,,,
19005,COMPUTADOR I5-3470 DDR38GB256GB D-PC5301,,,
18404,COMPUTADOR I5-3470 DRR3 8GB SSD 240GB,,,
19006,COMPUTADOR I5-4570 DRR38GB256GB D-PC5401,,,
